Brand,Price,Body.Type,Fuel.Type,Gearbox.Type,Power.hp,Displacement.l,Torque.lbft,Cylinders,Drivetrain,MPG.City,MPG.Highway,Seats,Doors,Height.in,Length.in,Width.in,Wheelbase.in,Air.Conditioner,Heater,AntiLock.Braking.System,Central.Locking,Power.Steering,Power.Windows,Anti.Lock.Braking,Brake.Assist,Central.Locking.1,Power.Door.Locks,Child.Safety.Locks,Rear.Seat.Belts,Door.Ajar.Warning,Adjustable.Seats,Crash.Sensor,Engine.Check.Warning,Rear.Camera,Anti.Theft.Device,Touch.Screen,Audio.System.Remote.Control,Speakers.Front...back,Bluetooth.Connectivity,USB...Auxiliary.Input,Adjustable.Steering.Column,Height.Adjustable.Driving.Seat,Digital.Clock,Electric.Folding.Rear.View.Mirror,Automatic.Climate.Control,Low.Fuel.Warning.Light,Parking.Sensors,Bottle.Holder,Seat.Belt.Warning,Vehicle.Stability.Control.System,Engine.Immobilizer,Rear.Reading.Lamp 
Tesla,79990,SUV,Electric,Automatic,296.0,2.9,306.0,4.0,all,0.0,0.0,5.0,4.0,66.0,198.3,78.7,116.7,Yes,Yes,0,Yes,Yes,Yes,Yes,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,Yes,Yes,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,Yes,Yes,Yes,Yes,Yes,Yes
Tesla,79990,Sedan,Electric,Automatic,296.0,2.9,306.0,4.0,all,0.0,0.0,5.0,4.0,56.9,196.0,86.2,116.5,Yes,Yes,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Jaguar,79900,SUV,Petrol,Automatic,444.0,5.0,428.0,8.0,all,16.0,24.0,2.0,2.0,51.6,176.0,74.2,103.2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Jaguar,79900,Coupe,Petrol,Automatic,575.0,5.0,516.0,4.0,all,16.0,24.0,2.0,2.0,51.6,176.0,74.2,103.2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Jaguar,79900,Coupe,Petrol,Automatic,380.0,3.0,339.0,4.0,all,18.0,26.0,2.0,2.0,51.6,176.0,74.2,103.2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Genesis,79825,Sedan,Electric,Automatic,296.0,2.9,306.0,4.0,all,0.0,0.0,5.0,4.0,64.0,186.3,74.9,111.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Lincoln,79710,SUV,Petrol,Automatic,440.0,3.5,510.0,6.0,all,16.0,20.0,7.0,5.0,76.3,210.0,79.9,122.5,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Lexus,79700,Sedan,Unknown,Automatic,416.0,3.5,442.0,4.0,rear,18.0,29.0,5.0,4.0,57.1,206.1,74.8,123.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,0,Yes,Yes,Yes,Yes,Yes,0
Lincoln,79670,SUV,Petrol,Automatic,400.0,3.0,415.0,4.0,all,17.0,24.0,6.0,4.0,69.6,199.3,82.3,119.1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Ford,79620,SUV,Petrol,Automatic,400.0,3.5,480.0,6.0,rear,17.0,23.0,8.0,5.0,76.6,210.0,79.9,122.5,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Maserati,79400,SUV,Petrol,Automatic,345.0,3.0,369.0,6.0,all,16.0,22.0,5.0,4.0,66.1,197.0,77.5,118.3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Volvo,79400,SUV,Unknown,Automatic,455.0,2.0,523.0,4.0,all,18.0,25.0,7.0,4.0,69.9,195.0,75.7,117.5,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Volvo,79400,SUV,Hybrid,Automatic,455.0,2.0,523.0,4.0,all,18.0,25.0,7.0,5.0,69.9,195.0,75.7,117.5,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Lincoln,79380,SUV,Petrol,Automatic,450.0,3.5,510.0,6.0,rear,16.0,21.0,7.0,4.0,76.2,221.9,79.9,131.6,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Cadillac,79295,SUV,Petrol,Automatic,420.0,6.2,460.0,10.0,all,14.0,19.0,7.0,4.0,76.7,211.9,81.1,120.9,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Cadillac,79290,SUV,Petrol,Automatic,420.0,6.2,460.0,10.0,all,14.0,19.0,7.0,5.0,76.7,211.9,81.1,120.9,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Land Rover,79200,SUV,Petrol,Automatic,395.0,3.0,405.0,6.0,all,19.0,25.0,5.0,4.0,66.2,188.9,80.3,113.1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Genesis,79200,Sedan,Petrol,Automatic,420.0,5.0,383.0,6.0,all,16.0,23.0,5.0,4.0,58.9,204.9,75.4,124.4,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Maserati,78990,Sedan,Petrol,Automatic,424.0,3.0,428.0,6.0,rear,17.0,25.0,5.0,4.0,57.5,195.7,76.6,118.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Lincoln,78850,SUV,Petrol,Automatic,450.0,3.5,510.0,6.0,all,16.0,23.0,7.0,5.0,76.3,210.0,79.9,122.5,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Alfa Romeo,78830,Sedan,Petrol,Automatic,505.0,2.9,443.0,6.0,rear,17.0,25.0,5.0,4.0,56.1,182.5,73.7,111.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Genesis,78700,Sedan,Petrol,Automatic,420.0,5.0,383.0,8.0,rear,16.0,24.0,5.0,4.0,58.9,204.9,75.4,124.4,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Genesis,78650,SUV,Electric,Automatic,482.0,2.9,518.0,4.0,all,0.0,0.0,5.0,4.0,62.0,178.0,74.0,114.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Infiniti,78000,SUV,Petrol,Automatic,400.0,5.6,413.0,8.0,all,13.0,19.0,7.0,5.0,75.8,210.2,79.9,121.1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Mercedes,77950,Sedan,Diesel,Automatic,296.0,2.9,306.0,4.0,front,18.0,25.0,5.0,5.0,58.0,192.0,81.0,115.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
BMW,77790,Sedan,Petrol,Automatic,523.0,4.4,553.0,8.0,all,17.0,25.0,5.0,4.0,58.4,195.8,73.5,117.1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Mercedes,77600,Coupe,Petrol,Automatic,429.0,3.0,384.0,6.0,all,21.0,28.0,4.0,2.0,56.2,190.6,73.2,113.1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Porsche,77500,SUV,Petrol,Automatic,541.0,4.0,567.0,8.0,all,15.0,19.0,5.0,4.0,65.9,194.0,78.1,114.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,Yes,Yes,Yes,Yes,Yes,Yes
Genesis,77450,Sedan,Petrol,Automatic,365.0,3.3,376.0,6.0,all,17.0,24.0,5.0,4.0,58.9,204.9,75.4,124.4,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Mercedes,77300,Coupe,Petrol,Automatic,429.0,3.0,384.0,6.0,all,21.0,27.0,4.0,2.0,56.2,190.6,73.2,113.1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Jeep,77220,SUV,Petrol,Automatic,420.0,3.0,468.0,6.0,all,15.0,20.0,8.0,5.0,79.6,226.7,83.6,130.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Genesis,77200,SUV,Petrol,Automatic,375.0,3.5,391.0,4.0,all,18.0,23.0,6.0,4.0,67.5,194.7,77.8,116.3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Ford,77170,SUV,Petrol,Automatic,375.0,3.5,470.0,6.0,rear,17.0,23.0,7.0,4.0,76.6,210.0,79.9,122.5,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Jeep,77090,Convertible,Unknown,Automatic,470.0,6.4,470.0,4.0,all,13.0,17.0,5.0,4.0,74.5,188.4,73.8,118.4,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
GMC,77000,SUV,Petrol,Automatic,420.0,6.2,460.0,8.0,rear,14.0,19.0,7.0,5.0,76.5,225.2,81.0,134.1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Lincoln,76710,SUV,Petrol,Automatic,450.0,3.5,510.0,6.0,rear,16.0,23.0,7.0,5.0,76.4,210.0,79.9,122.5,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Lincoln,76710,SUV,Petrol,Automatic,450.0,3.5,510.0,6.0,rear,16.0,23.0,7.0,5.0,76.4,210.0,79.9,122.5,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Jaguar,76700,Convertible,Petrol,Automatic,444.0,5.0,428.0,8.0,rear,17.0,24.0,5.0,4.0,51.5,176.0,74.2,103.2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,0,Yes,0,Yes,Yes,Yes,0
Genesis,76700,Sedan,Petrol,Automatic,420.0,5.0,383.0,6.0,rear,16.0,24.0,5.0,4.0,58.9,204.9,75.4,124.4,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
GMC,76500,Truck,Petrol,Automatic,420.0,6.2,460.0,8.0,all,14.0,18.0,5.0,4.0,75.49,231.72,81.24,147.43,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,Yes,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,Yes,Yes,Yes,0,Yes,Yes,Yes
Cadillac,76295,SUV,Electric,Automatic,296.0,2.9,306.0,4.0,all,0.0,0.0,7.0,4.0,76.7,211.9,81.1,120.9,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Maserati,76200,Sedan,Petrol,Automatic,345.0,3.0,369.0,6.0,rear,17.0,25.0,5.0,4.0,57.5,195.7,76.6,118.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Maserati,76200,Sedan,Petrol,Automatic,345.0,3.0,369.0,6.0,rear,17.0,25.0,5.0,4.0,57.5,195.7,76.6,118.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Lincoln,76180,SUV,Petrol,Automatic,450.0,3.5,510.0,6.0,rear,16.0,23.0,7.0,5.0,76.4,210.0,79.9,122.5,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Chevrolet,76100,SUV,Petrol,Automatic,420.0,6.2,460.0,8.0,all,14.0,19.0,7.0,5.0,75.8,210.7,81.0,120.9,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Audi,75900,Coupe,Petrol,Automatic,444.0,2.9,442.0,4.0,all,18.0,25.0,5.0,4.0,65.5,186.0,54.0,108.9,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,0,Yes,Yes,Yes,Yes,Yes,0
Infiniti,75900,SUV,Petrol,Automatic,400.0,5.6,413.0,8.0,rear,14.0,20.0,7.0,5.0,75.8,210.2,79.9,121.1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Audi,75800,Sedan,Petrol,Automatic,407.0,2.5,306.0,4.0,all,19.0,28.0,5.0,4.0,55.0,176.3,70.7,103.6,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,0,Yes,Yes,Yes,Yes,Yes,0
Genesis,75700,SUV,Petrol,Automatic,375.0,3.5,391.0,4.0,all,18.0,23.0,5.0,4.0,67.5,194.7,77.8,116.3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
GMC,75700,SUV,Petrol,Automatic,420.0,6.2,460.0,8.0,all,14.0,19.0,7.0,5.0,76.5,225.2,81.0,134.1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Genesis,75450,Sedan,Petrol,Automatic,365.0,3.3,376.0,6.0,all,17.0,24.0,5.0,4.0,58.9,204.9,75.4,124.4,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Jaguar,75400,Convertible,Petrol,Automatic,296.0,2.0,295.0,4.0,rear,23.0,30.0,2.0,2.0,51.5,176.0,74.2,103.2,Yes,Yes,Yes,Yes,Yes,0,Yes,Yes,Yes,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Jaguar,75400,Convertible,Petrol,Automatic,296.0,2.0,295.0,4.0,rear,23.0,30.0,2.0,2.0,51.5,176.0,74.2,103.2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Genesis,74950,Sedan,Petrol,Automatic,365.0,3.3,376.0,6.0,rear,17.0,24.0,5.0,4.0,58.9,204.9,75.4,124.4,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Infiniti,74900,SUV,Petrol,Automatic,400.0,5.6,413.0,8.0,rear,14.0,20.0,7.0,5.0,75.8,210.2,79.9,121.1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Dodge,74900,Sedan,Petrol,Automatic,797.0,6.2,707.0,8.0,rear,12.0,21.0,5.0,4.0,57.6,201.0,78.3,120.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Audi,74800,SUV,Petrol,Automatic,444.0,2.9,443.0,6.0,all,18.0,28.0,6.0,4.0,56.9,195.0,74.3,115.3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Alfa Romeo,74750,Sedan,Petrol,Automatic,505.0,2.9,443.0,6.0,rear,17.0,25.0,5.0,4.0,56.1,182.5,73.7,111.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Alfa Romeo,74750,SUV,Petrol,Automatic,280.0,2.9,306.0,4.0,all,18.0,25.0,5.0,4.0,66.0,184.6,74.9,111.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Ford,74474,Truck,Electric,Automatic,426.0,2.9,775.0,4.0,all,0.0,0.0,5.0,4.0,77.2,231.7,79.9,145.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,Yes,Yes,Yes
Jeep,74220,SUV,Petrol,Automatic,420.0,3.0,468.0,6.0,rear,17.0,23.0,8.0,5.0,79.6,226.7,83.6,130.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Volvo,74150,SUV,Unknown,Automatic,455.0,2.0,523.0,4.0,all,18.0,25.0,5.0,4.0,69.9,195.0,75.7,117.5,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Audi,74000,SUV,Electric,Automatic,355.0,2.9,414.0,4.0,all,0.0,0.0,5.0,4.0,65.0,193.0,76.2,115.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,Yes,Yes,Yes,Yes,Yes,Yes
